id,jurisdiction,doc_type,source_system,canonical_id,title,language,date_document,court,court_ecli_code,case_number,decision_type,subject_matters,source_url,content_html_url,content_xml_url
doc-eu-case-62024CJ0554_RES,EU,case_law,curia,ECLI:EU:C:2026:28,"Judgment of the Court (First Chamber) of 22 January 2026.#Republic of Poland v European Commission.#Appeal – Articles 259, 260 and 279 TFEU – Compliance by a Member State with an order of the Vice-President of the Court imposing interim measures – Obligation to pay a daily penalty until the order is complied with – Failure to take the necessary measures to comply with the order and to pay the periodic penalty – Removal of the case on the merits from the register – Recovery by way of set-off of debts arising from the non-payment of the periodic penalty – Action for annulment.#Case C-554/24 P.",en,2026-01-22,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0554_RES,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0554_RES,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0554_RES
doc-eu-case-62024CC0877,EU,case_law,curia,ECLI:EU:C:2026:37,Opinion of Advocate General Spielmann delivered on 22 January 2026.###,en,2026-01-22,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CC0877,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CC0877,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CC0877
doc-eu-case-62024CC0583,EU,case_law,curia,ECLI:EU:C:2026:35,Opinion of Advocate General Richard de la Tour delivered on 22 January 2026.###,en,2026-01-22,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CC0583,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CC0583,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CC0583
doc-eu-case-62024CC0773,EU,case_law,curia,ECLI:EU:C:2026:39,Opinion of Advocate General Campos Sánchez-Bordona delivered on 22 January 2026.###,en,2026-01-22,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CC0773,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CC0773,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CC0773
doc-eu-case-62024CJ0554,EU,case_law,curia,ECLI:EU:C:2026:28,"Judgment of the Court (First Chamber) of 22 January 2026.#Republic of Poland v European Commission.#Appeal – Articles 259, 260 and 279 TFEU – Compliance by a Member State with an order of the Vice-President of the Court imposing interim measures – Obligation to pay a daily penalty until the order is complied with – Failure to take the necessary measures to comply with the order and to pay the periodic penalty – Removal of the case on the merits from the register – Recovery by way of set-off of debts arising from the non-payment of the periodic penalty – Action for annulment.#Case C-554/24 P.",en,2026-01-22,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0554,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0554,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0554
doc-eu-case-62024CJ0902,EU,case_law,curia,ECLI:EU:C:2026:42,Judgment of the Court (Ninth Chamber) of 22 January 2026.#RM and EM v Santander Bank Polska S.A.#Reference for a preliminary ruling – Consumer protection – Directive 93/13/EEC – Unfair terms in consumer contracts – Article 6(1) and Article 7(1) – Mortgage loan agreement indexed to a foreign currency and containing unfair terms – Effects of the finding that a contractual term is unfair – Void agreement – National case-law providing for two independent claims for restitution – Consumer action seeking repayment of monthly payments made under the agreement – Claim of the seller or supplier corresponding to the amount of the loan – Recovery – Right of the seller or supplier to raise a plea of set-off of its claim against that of the consumer – Rules on the award of costs – Dissuasive effect of the prohibition on unfair terms – Principle of effectiveness – Obligation to interpret national law in conformity with EU law.#Case C-902/24.,en,2026-01-22,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0902,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0902,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0902
doc-eu-case-62024CJ0812,EU,case_law,curia,ECLI:EU:C:2026:38,"Judgment of the Court (Seventh Chamber) of 22 January 2026.#LIPOR – Associação de Municípios para a Gestão Sustentável de Resíduos do Grande Porto and PreZero Portugal, S.A. v Semural Waste & Energy, S.A.#Reference for a preliminary ruling – Public procurement of service, supply and works contracts – Directive 2014/24/EU – Award of contracts – Article 2(1)(10) – Concept of ‘economic operator’ – Inclusion of a subsidiary wholly owned by the parent company – Article 63 – Reliance on the capacities of other entities of persons linked with that undertaking – Article 59(1) – Freedom to prove that the capacities of other entities have been made available – Implementing Regulation (EU) 2016/7 – Annex 1 and point C of Part II of Annex 2 – Submission of several European Single Procurement Documents (ESPD) – Purpose of the ESPD.#Case C-812/24.",en,2026-01-22,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0812,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0812,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0812
doc-eu-case-62024CJ0144,EU,case_law,curia,ECLI:EU:C:2026:34,Judgment of the Court (Fifth Chamber) of 22 January 2026.#European Commission v Hungary.#Failure of a Member State to fulfil obligations – Freedom of establishment – National legislation establishing reference prices for certain basic construction materials below market prices – Obligation to pay an ‘additional mining fee’ corresponding to 90% of the difference between the reference price and the selling price – Measure mainly affecting undertakings held by companies established in other Member States – No justification – Procedure for the provision of information in the field of technical standards and regulations and of rules on Information Society services – Directive (EU) 2015/1535 – Article 1(1)(d) – Concept of ‘other requirements’.#Case C-144/24.,en,2026-01-22,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0144,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0144,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0144
doc-eu-case-62024CJ0590,EU,case_law,curia,ECLI:EU:C:2026:41,Judgment of the Court (Eighth Chamber) of 22 January 2026.##Reference for a preliminary ruling – Public procurement procedures – Directive 2014/23 – Award of concession contracts – Directive 2014/24 – Grounds for exclusion – National legislation establishing a register of public sector partners – Requirement of impartiality on the part of the person authorised to enter the public sector partner in that register – Imposition of a fine for non-compliance with that requirement – Automatic exclusion from participation in public procurement procedures in the event of non-payment of that fine – Article 49 of the Charter of Fundamental Rights of the European Union – Criminal nature of the penalty – Predictability and proportionality of that penalty – Principle of legal certainty.#Case C-590/24.,en,2026-01-22,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0590,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0590,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0590
doc-eu-case-62023CJ0423,EU,case_law,curia,ECLI:EU:C:2026:32,Judgment of the Court (Fourth Chamber) of 22 January 2026.#Secab Soc. coop. v Autorità di Regolazione per Energia Reti e Ambiente (ARERA) and Gestore dei servizi energetici (GSE) SpA.#Reference for a preliminary ruling – Internal market for electricity – Directive (EU) 2019/944 – Article 5 – Market-based supply prices – Directive (EU) 2018/2001 – Promotion of the use of energy from renewable sources – Regulation (EU) 2022/1854 – Emergency intervention to address high energy prices – Articles 6 and 7 – Cap on the market revenues obtained by electricity producers using certain renewable energy sources – Article 8 – National measures further limiting market revenues – Conditions – National legislation not guaranteeing that producers retain 10% of surplus revenues above the cap – Preservation of investments in the renewable energy sector – No cap on the revenues obtained from the sale of energy produced from hard coal – No legislation differentiating between different sources of production.#Case C-423/23.,en,2026-01-22,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62023CJ0423,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62023CJ0423,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62023CJ0423
